season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,team_figure_url
2010/2011,Netherlands Eredivisie,NAC Breda,12,5,17,44,60,41,-16,13,4.75028,51.5956,
2010/2011,Netherlands Eredivisie,PSV,20,9,5,79,34,69,45,3,5.4674,51.4417,
2010/2011,Netherlands Eredivisie,Roda JC Kerkrade,14,13,7,65,50,55,15,6,6.005833333,50.85694444,
2010/2011,Netherlands Eredivisie,SC Heerenveen,10,11,13,60,54,41,6,12,5.936111,52.958611,
2010/2011,Netherlands Eredivisie,VVV-Venlo,6,3,25,34,76,21,-42,17,6.179722,51.351944,
2010/2011,Netherlands Eredivisie,Vitesse,9,8,17,42,61,35,-19,15,5.893056,51.9625,
2010/2011,Netherlands Eredivisie,Willem II,3,6,25,37,98,15,-61,18,5.066944,51.542778,
2010/2011,Poland Ekstraklasa,Arka Gdynia,6,10,14,22,43,28,-21,15,18.531214,54.493136,
2010/2011,Poland Ekstraklasa,Cracovia,8,5,17,37,47,29,-10,14,19.919722,50.058056,
2010/2011,Poland Ekstraklasa,GKS Bełchatów,10,10,10,31,33,40,-2,10,19.381692,51.365839,
2010/2011,Poland Ekstraklasa,Jagiellonia Białystok,14,6,10,38,32,48,6,5,23.148889,53.105556,
2010/2011,Poland Ekstraklasa,Korona Kielce,10,7,13,34,48,37,-14,13,20.624722,50.861389,
2010/2011,Poland Ekstraklasa,Lech Poznań,13,6,11,37,23,45,14,6,16.858056,52.397222,
2010/2011,Poland Ekstraklasa,Lechia Gdańsk,12,7,11,37,36,43,1,9,18.640278,54.39,
2010/2011,Poland Ekstraklasa,Legia Warszawa,15,4,11,45,38,49,7,4,21.04099453,52.22149029,
2010/2011,Poland Ekstraklasa,P. Warszawa,12,8,10,41,26,44,15,7,21.07967436,52.23167219,
2010/2011,Poland Ekstraklasa,Polonia Bytom,19,15,26,65,85,72,-20,1,18.89871667,50.35755833,
2010/2011,Poland Ekstraklasa,Ruch Chorzów,10,8,12,29,32,38,-3,12,18.944178,50.282203,
2010/2011,Poland Ekstraklasa,Widzew Łódź,11,10,9,41,34,43,7,8,19.511667,51.765,
2010/2011,Poland Ekstraklasa,Wisła Kraków,17,5,8,44,29,56,15,2,19.911944,50.063611,
2010/2011,Poland Ekstraklasa,Zagłębie Lubin,10,9,11,31,38,39,-7,11,16.1975,51.413333,
2010/2011,Poland Ekstraklasa,Śląsk Wrocław,13,10,7,46,34,49,12,3,16.944094,51.141797,
2010/2011,Portugal Liga ZON Sagres,Académica de Coimbra,7,9,14,32,48,30,-16,14,-8.407777777,40.20333333,
2010/2011,Portugal Liga ZON Sagres,CD Nacional,11,9,10,28,31,42,-3,6,-16.883525,32.670625,
2010/2011,Portugal Liga ZON Sagres,CS Marítimo,9,8,13,33,32,35,1,9,-16.928331,32.645561,
2010/2011,Portugal Liga ZON Sagres,FC Paços de Ferreira,10,11,9,35,42,41,-7,7,-8.385581,41.271353,
2010/2011,Portugal Liga ZON Sagres,FC Porto,27,3,0,73,16,84,57,1,-8.544874,41.066863,
2010/2011,Portugal Liga ZON Sagres,Naval 1° de Maio,5,8,17,26,51,23,-25,16,-8.859281665,40.16283021,
2010/2011,Portugal Liga ZON Sagres,Portimonense,6,7,17,29,49,25,-20,15,-8.539833,37.135694,
2010/2011,Portugal Liga ZON Sagres,Rio Ave FC,10,8,12,35,33,38,2,8,-8.740186,41.362756,
2010/2011,Portugal Liga ZON Sagres,S.C. Olhanense,7,13,10,24,34,34,-10,11,-7.848483,37.029128,
2010/2011,Portugal Liga ZON Sagres,SC Beira Mar,7,12,11,32,36,33,-4,13,-8.593611,40.6475,
2010/2011,Portugal Liga ZON Sagres,SC Braga,13,7,10,45,33,46,12,4,-8.4308,41.5624,
2010/2011,Portugal Liga ZON Sagres,SL Benfica,20,3,7,61,31,63,30,2,-9.184680555,38.75267778,
2010/2011,Portugal Liga ZON Sagres,Sporting CP,13,9,8,41,31,48,10,3,-9.160783333,38.76119444,
2010/2011,Portugal Liga ZON Sagres,"União de Leiria, SAD",9,8,13,25,38,35,-13,10,-8.811727979,39.74910021,
2010/2011,Portugal Liga ZON Sagres,Vitória Guimarães,12,7,11,36,37,43,-1,5,-8.300066156,41.44587634,
2010/2011,Portugal Liga ZON Sagres,Vitória Setúbal,8,10,12,29,42,34,-13,12,-8.88978488,38.53144068,
2010/2011,Scotland Premier League,Aberdeen,11,5,22,39,59,38,-20,9,-2.088888888,57.15916667,
2010/2011,Scotland Premier League,Celtic,29,5,4,85,22,92,63,2,-23.512222,14.916111,
2010/2011,Scotland Premier League,Dundee United,17,10,11,55,50,61,5,4,-2.968961,56.474703,
2010/2011,Scotland Premier League,Hamilton Academical FC,5,11,22,24,59,26,-35,12,-4.0585,55.7822,
2010/2011,Scotland Premier League,Heart of Midlothian,18,9,11,53,45,63,8,3,-3.232222,55.939167,
2010/2011,Scotland Premier League,Hibernian,10,7,21,39,61,37,-22,10,-3.165555555,55.96166667,
2010/2011,Scotland Premier League,Inverness Caledonian Thistle,14,11,13,52,44,53,8,5,-4.2175,57.494722,
2010/2011,Scotland Premier League,Kilmarnock,13,10,15,53,55,49,-2,6,-4.508122,55.604225,
2010/2011,Scotland Premier League,Motherwell,13,7,18,40,60,46,-20,7,-3.980078,55.779947,
2010/2011,Scotland Premier League,Rangers,30,3,5,88,29,93,59,1,28.0516,-26.2346,
2010/2011,Scotland Premier League,St. Johnstone FC,11,11,16,23,43,44,-20,8,-3.476928,56.409686,
2010/2011,Scotland Premier League,St. Mirren,8,9,21,33,57,33,-24,11,-4.443889,55.850556,
2010/2011,Spain LIGA BBVA,Athletic Club de Bilbao,18,4,16,59,55,58,4,6,-2.949369,43.264205,
2010/2011,Spain LIGA BBVA,Atlético Madrid,17,7,14,62,53,58,9,5,-3.599444,40.436111,
2010/2011,Spain LIGA BBVA,CA Osasuna,13,8,17,45,46,47,-1,9,-9.192602072,38.76679118,
2010/2011,Spain LIGA BBVA,FC Barcelona,30,6,2,95,21,96,74,1,2.12005,41.380081,
2010/2011,Spain LIGA BBVA,Getafe CF,12,8,18,49,60,44,-11,16,-3.714722,40.325556,
2010/2011,Spain LIGA BBVA,Hércules Club de Fútbol,9,8,21,36,60,35,-24,19,4.267392758,52.04506061,
2010/2011,Spain LIGA BBVA,Levante UD,12,9,17,41,52,45,-11,13,-0.364167,39.494722,
2010/2011,Spain LIGA BBVA,Málaga CF,13,7,18,54,68,46,-14,11,-4.427226608,36.73438436,
2010/2011,Spain LIGA BBVA,RC Deportivo de La Coruña,10,13,15,31,47,43,-16,18,-8.417372,43.368667,
2010/2011,Spain LIGA BBVA,RCD Espanyol,15,4,19,46,55,49,-9,8,2.075667,41.347861,
2010/2011,Spain LIGA BBVA,RCD Mallorca,12,8,18,41,56,44,-15,17,2.63,39.59,
2010/2011,Spain LIGA BBVA,Racing Santander,12,10,16,41,56,46,-15,12,-3.846193141,43.46180928,
2010/2011,Spain LIGA BBVA,Real Madrid CF,29,5,4,102,33,92,69,2,-3.68835,40.45306,
2010/2011,Spain LIGA BBVA,Real Sociedad,14,3,21,49,66,45,-17,15,-1.973617,43.301378,
2010/2011,Spain LIGA BBVA,Real Sporting de Gijón,11,14,13,35,42,47,-7,10,-5.68056,43.4981,
2010/2011,Spain LIGA BBVA,Real Zaragoza,12,9,17,40,53,45,-13,14,-0.901822,41.636592,
2010/2011,Spain LIGA BBVA,Sevilla FC,17,7,14,62,61,58,1,7,-5.970467,37.383878,
2010/2011,Spain LIGA BBVA,UD Almería,6,12,20,36,70,30,-34,20,-2.44529,36.862,
2010/2011,Spain LIGA BBVA,Valencia CF,21,8,9,64,44,71,20,3,-0.358333,39.474722,
2010/2011,Spain LIGA BBVA,Villarreal CF,18,8,12,54,44,62,10,4,-0.11501,39.94046,
2010/2011,Switzerland Super League,AC Bellinzona,7,11,18,42,75,32,-33,9,9.022304,46.198082,
2010/2011,Switzerland Super League,BSC Young Boys,15,12,9,65,50,57,15,3,7.465,46.962778,
2010/2011,Switzerland Super League,FC Basel,21,10,5,76,44,73,32,1,7.62,47.541389,
2010/2011,Switzerland Super League,FC Luzern,13,9,14,62,57,48,5,6,8.305187,47.033264,
2010/2011,Switzerland Super League,FC Sion,15,9,12,47,36,54,11,4,7.376389,46.233333,
2010/2011,Switzerland Super League,FC St. Gallen,8,7,21,34,67,31,-33,10,9.306389,47.408333,
2010/2011,Switzerland Super League,FC Thun,11,16,9,48,43,49,5,5,7.606075,46.744817,
2010/2011,Switzerland Super League,FC Zürich,21,9,6,74,44,72,30,2,8.503801,47.382791,
2010/2011,Switzerland Super League,Grasshopper Club Zürich,10,11,15,45,54,41,-9,7,8.503801,47.382791,
2010/2011,Switzerland Super League,Neuchâtel Xamax,8,8,20,44,67,32,-23,8,6.944,46.9952,
2011/2012,Belgium Jupiler League,Beerschot AC,9,9,12,45,51,36,-6,11,4.382222,51.185,
2011/2012,Belgium Jupiler League,Club Brugge KV,19,4,7,51,32,61,19,2,3.181311,51.193269,
2011/2012,Belgium Jupiler League,KAA Gent,17,5,8,63,35,56,28,3,3.766111,51.031389,
2011/2012,Belgium Jupiler League,KRC Genk,13,7,10,60,44,46,16,5,5.533333,51.005,
2011/2012,Belgium Jupiler League,KSV Cercle Brugge,13,7,10,36,37,46,-1,7,3.179748427,51.1930059,
2011/2012,Belgium Jupiler League,KV Kortrijk,13,7,10,39,36,46,3,6,3.248889,50.830278,
2011/2012,Belgium Jupiler League,KV Mechelen,10,7,13,40,50,37,-10,9,4.486389,51.037222,
2011/2012,Belgium Jupiler League,KVC Westerlo,5,5,20,29,59,20,-30,15,4.928333,51.094722,
2011/2012,Belgium Jupiler League,Lierse SK,6,13,11,24,36,31,-12,12,4.573611,51.144167,
2011/2012,Belgium Jupiler League,Oud-Heverlee Leuven,7,8,15,38,58,29,-20,14,4.694167,50.868333,
2011/2012,Belgium Jupiler League,RAEC Mons,9,9,12,50,55,36,-5,10,3.963822,50.461957,
2011/2012,Belgium Jupiler League,RSC Anderlecht,20,7,3,61,26,67,35,1,4.298333,50.834167,
2011/2012,Belgium Jupiler League,SV Zulte-Waregem,6,12,12,32,38,30,-6,13,3.428889,50.883056,
2011/2012,Belgium Jupiler League,Sint-Truidense VV,3,10,17,32,61,19,-29,16,5.165278,50.813611,
2011/2012,Belgium Jupiler League,Sporting Lokeren,11,11,8,48,40,44,8,8,3.985900182,51.11556272,
2011/2012,Belgium Jupiler League,Standard de Liège,14,9,7,43,33,51,10,4,5.544487505,50.60999871,
2011/2012,England Premier League,Arsenal,21,7,10,74,49,70,25,3,27.501339,-29.310975,
2011/2012,England Premier League,Aston Villa,7,17,14,37,53,38,-16,16,-1.884722222,52.50916667,
2011/2012,England Premier League,Blackburn Rovers,8,7,23,48,78,31,-30,19,-2.489166666,53.72861111,
2011/2012,England Premier League,Bolton Wanderers,10,6,22,46,77,36,-31,18,-2.535555555,53.58055556,
2011/2012,England Premier League,Chelsea,18,10,10,65,46,64,19,6,-0.191111111,51.48166667,
2011/2012,England Premier League,Everton,15,11,12,50,40,56,10,7,-2.966388888,53.43888889,
2011/2012,England Premier League,Fulham,14,10,14,48,51,52,-3,9,-0.221666666,51.475,
2011/2012,England Premier League,Liverpool,14,10,14,47,40,52,7,8,-2.960833333,53.43083333,
2011/2012,England Premier League,Manchester City,28,5,5,93,29,89,64,1,-2.200277777,53.48305556,
2011/2012,England Premier League,Manchester United,28,5,5,89,33,89,56,2,-2.291388888,53.46305556,
2011/2012,England Premier League,Newcastle United,19,8,11,56,51,65,5,5,-1.621666666,54.97555556,
2011/2012,England Premier League,Norwich City,12,11,15,52,66,47,-14,12,1.308653,52.622128,
2011/2012,England Premier League,Queens Park Rangers,10,7,21,43,66,37,-23,17,-0.232222222,51.50916667,
2011/2012,England Premier League,Stoke City,11,12,15,36,53,45,-17,14,-2.175555555,52.98833333,
2011/2012,England Premier League,Sunderland,11,12,15,45,46,45,-1,13,-1.3882,54.9144,
2011/2012,England Premier League,Swansea City,12,11,15,44,51,47,-7,10,-3.9351,51.6422,
2011/2012,England Premier League,Tottenham Hotspur,20,9,9,66,41,69,25,4,-0.066388888,51.60444444,
2011/2012,England Premier League,West Bromwich Albion,13,8,17,45,52,47,-7,11,-1.963888888,52.50916667,
2011/2012,England Premier League,Wigan Athletic,11,10,17,42,62,43,-20,15,-2.653889,53.547778,
2011/2012,England Premier League,Wolverhampton Wanderers,5,10,23,40,82,25,-42,20,-2.130277777,52.59027778,
2011/2012,France Ligue 1,AC Ajaccio,9,14,15,40,61,41,-21,16,8.776444444,41.93076111,
2011/2012,France Ligue 1,AJ Auxerre,7,13,18,46,57,34,-11,20,3.588664,47.786753,
2011/2012,France Ligue 1,AS Nancy-Lorraine,11,12,15,38,48,45,-10,11,6.210687,48.6955,
2011/2012,France Ligue 1,AS Saint-Étienne,16,9,13,49,45,57,4,7,4.39,45.460833,
2011/2012,France Ligue 1,Dijon FCO,9,9,20,38,63,36,-25,19,5.069247,47.324469,
2011/2012,France Ligue 1,FC Lorient,9,12,17,35,49,39,-14,17,-3.369733,47.748256,
2011/2012,France Ligue 1,FC Sochaux-Montbéliard,11,9,18,40,60,42,-20,14,6.811094,47.512403,
2011/2012,France Ligue 1,Girondins de Bordeaux,16,13,9,53,41,61,12,5,-0.563333,44.896944,
2011/2012,France Ligue 1,LOSC Lille,21,11,6,72,39,74,33,3,3.067614316,50.63678193,
2011/2012,France Ligue 1,Montpellier Hérault SC,25,7,6,68,34,82,34,1,3.930685964,43.61275576,
2011/2012,France Ligue 1,OGC Nice,10,12,16,39,46,42,-7,13,7.192583333,43.70513889,
2011/2012,France Ligue 1,Olympique Lyonnais,19,7,12,64,51,64,13,4,4.982131,45.765224,
2011/2012,France Ligue 1,Olympique de Marseille,12,12,14,45,41,48,4,10,5.395833333,43.26972222,
2011/2012,France Ligue 1,Paris Saint-Germain,23,10,5,75,41,79,34,2,2.253055555,48.84138889,
2011/2012,France Ligue 1,SM Caen,9,11,18,39,59,38,-20,18,-0.395893731,49.17966417,
2011/2012,France Ligue 1,Stade Brestois 29,8,17,13,31,38,41,-7,15,-4.461694,48.402932,
2011/2012,France Ligue 1,Stade Rennais FC,17,9,12,53,44,60,9,6,-1.712861111,48.10747222,
2011/2012,France Ligue 1,Toulouse FC,15,11,12,37,34,56,3,8,1.434055,43.583296,
2011/2012,France Ligue 1,Valenciennes FC,12,7,19,40,50,43,-10,12,3.529336,50.348486,
2011/2012,France Ligue 1,Évian Thonon Gaillard FC,13,11,14,54,55,50,-1,9,6.467691868,46.36570671,
2011/2012,Germany 1. Bundesliga,1. FC Kaiserslautern,4,11,19,24,54,23,-30,18,7.775833,49.434444,
2011/2012,Germany 1. Bundesliga,1. FC Köln,8,6,20,39,75,30,-36,17,6.875,50.933611,
2011/2012,Germany 1. Bundesliga,1. FC Nürnberg,12,6,16,38,49,42,-11,10,11.125278,49.426389,
2011/2012,Germany 1. Bundesliga,1. FSV Mainz 05,9,12,13,47,51,39,-4,13,8.322268157,49.96242212,
2011/2012,Germany 1. Bundesliga,Bayer 04 Leverkusen,15,9,10,52,44,54,8,5,7.002205555,51.03825556,
2011/2012,Germany 1. Bundesliga,Borussia Dortmund,25,6,3,80,25,81,55,1,7.451667,51.4925,
2011/2012,Germany 1. Bundesliga,Borussia Mönchengladbach,17,9,8,49,24,60,25,4,6.385463888,51.17458333,
2011/2012,Germany 1. Bundesliga,FC Augsburg,8,14,12,36,49,38,-13,14,10.8859261,48.3233205,
2011/2012,Germany 1. Bundesliga,FC Bayern Munich,23,4,7,77,22,73,55,2,11.574444,48.110833,
2011/2012,Germany 1. Bundesliga,FC Schalke 04,20,4,10,74,44,64,30,3,7.067588888,51.55450278,
2011/2012,Germany 1. Bundesliga,Hamburger SV,8,12,14,35,57,36,-22,15,9.898611,53.586944,
2011/2012,Germany 1. Bundesliga,Hannover 96,12,12,10,41,45,48,-4,7,9.731111,52.36,
2011/2012,Germany 1. Bundesliga,Hertha BSC Berlin,7,10,17,38,64,31,-26,16,13.23944444,52.51472222,
2011/2012,Germany 1. Bundesliga,SC Freiburg,10,10,14,45,61,40,-16,12,7.893056,47.988889,
2011/2012,Germany 1. Bundesliga,SV Werder Bremen,11,9,14,49,58,42,-9,9,8.8375,53.066389,
2011/2012,Germany 1. Bundesliga,TSG 1899 Hoffenheim,10,11,13,41,47,41,-6,11,8.84212,49.2783,
2011/2012,Germany 1. Bundesliga,VfB Stuttgart,15,8,11,63,46,53,17,6,9.231944,48.792222,
2011/2012,Germany 1. Bundesliga,VfL Wolfsburg,13,5,16,47,60,44,-13,8,10.807511,52.434577,
2011/2012,Italy Serie A,Atalanta,13,11,11,40,40,50,0,9,9.680833,45.708889,
2011/2012,Italy Serie A,Bologna,11,11,13,36,41,44,-5,11,11.309719,44.49362,
2011/2012,Italy Serie A,Cagliari,9,13,14,35,43,40,-8,15,9.137583333,39.19988889,
2011/2012,Italy Serie A,Catania,10,12,12,42,48,42,-6,13,15.071389,37.515833,
2011/2012,Italy Serie A,Cesena,4,8,22,24,56,20,-32,20,12.261944,44.140556,
2011/2012,Italy Serie A,Chievo Verona,11,13,13,33,44,46,-11,10,10.968647,45.435356,
2011/2012,Italy Serie A,Fiorentina,10,12,12,32,38,42,-6,14,11.282258,43.780822,
2011/2012,Italy Serie A,Genoa,11,7,18,48,67,40,-19,16,8.952428,44.416431,
2011/2012,Italy Serie A,Inter,17,6,14,56,53,57,3,6,9.124,45.47808,
2011/2012,Italy Serie A,Juventus,22,13,0,64,19,79,45,1,-88.57027778,18.08305556,
2011/2012,Italy Serie A,Lazio,17,8,11,53,43,59,10,5,12.454714,41.933872,
2011/2012,Italy Serie A,Lecce,8,10,17,38,52,34,-14,18,18.208889,40.365278,
2011/2012,Italy Serie A,Milan,23,8,6,72,33,77,39,2,14.30720933,41.08379544,
2011/2012,Italy Serie A,Napoli,16,12,8,64,41,60,23,4,14.26338465,40.88798394,
2011/2012,Italy Serie A,Novara,6,11,19,34,64,29,-30,19,8.595833,45.435833,
2011/2012,Italy Serie A,Palermo,11,10,17,52,62,43,-10,12,13.342275,38.152767,
2011/2012,Italy Serie A,Parma,15,9,12,51,50,54,1,8,10.33844444,44.79491667,
2011/2012,Italy Serie A,Roma,16,8,13,59,52,56,7,7,12.454714,41.933872,
2011/2012,Italy Serie A,Siena,9,11,16,40,45,38,-5,17,11.326111,43.321667,
2011/2012,Italy Serie A,Udinese,18,9,9,52,34,63,18,3,13.200136,46.081603,
2011/2012,Netherlands Eredivisie,ADO Den Haag,8,8,18,38,67,32,-29,15,4.383056,52.062778,
2011/2012,Netherlands Eredivisie,AZ,19,8,7,64,35,65,29,4,4.741630263,52.61271589,
2011/2012,Netherlands Eredivisie,Ajax,23,7,4,93,36,76,57,1,4.940442856,52.31420074,
2011/2012,Netherlands Eredivisie,De Graafschap,6,6,22,36,74,24,-38,17,6.309722,51.955833,
2011/2012,Netherlands Eredivisie,Excelsior,4,7,23,28,76,19,-48,18,4.520556,51.916944,
2011/2012,Netherlands Eredivisie,FC Groningen,10,7,17,41,61,37,-20,14,6.591388888,53.20611111,
2011/2012,Netherlands Eredivisie,FC Twente,17,9,8,82,46,60,36,6,6.8375,52.23666667,
2011/2012,Netherlands Eredivisie,FC Utrecht,11,10,13,55,58,43,-3,11,5.145833333,52.07833333,
2011/2012,Netherlands Eredivisie,Feyenoord,21,7,6,70,37,70,33,2,4.523252777,51.89389444,
2011/2012,Netherlands Eredivisie,Heracles Almelo,11,7,16,52,62,40,-10,12,6.649722,52.338611,
2011/2012,Netherlands Eredivisie,N.E.C.,13,6,15,42,45,45,-3,8,5.836667,51.8225,
2011/2012,Netherlands Eredivisie,NAC Breda,10,8,16,45,54,38,-9,13,4.75028,51.5956,
2011/2012,Netherlands Eredivisie,PSV,21,6,7,87,47,69,40,3,5.4674,51.4417,
2011/2012,Netherlands Eredivisie,RKC Waalwijk,13,6,15,40,49,45,-9,9,5.088611,51.686944,
2011/2012,Netherlands Eredivisie,Roda JC Kerkrade,14,2,18,55,70,44,-15,10,6.005833333,50.85694444,
2011/2012,Netherlands Eredivisie,SC Heerenveen,18,10,6,79,59,64,20,5,5.936111,52.958611,
2011/2012,Netherlands Eredivisie,VVV-Venlo,9,4,21,42,78,31,-36,16,6.179722,51.351944,
2011/2012,Netherlands Eredivisie,Vitesse,15,8,11,48,43,53,5,7,5.893056,51.9625,
2011/2012,Poland Ekstraklasa,Cracovia,4,10,16,20,41,22,-21,15,19.919722,50.058056,
2011/2012,Poland Ekstraklasa,GKS Bełchatów,7,10,13,34,36,31,-2,13,19.381692,51.365839,
2011/2012,Poland Ekstraklasa,Jagiellonia Białystok,11,6,13,35,45,39,-10,11,23.148889,53.105556,
2011/2012,Poland Ekstraklasa,Korona Kielce,13,9,8,34,29,48,5,6,20.624722,50.861389,
2011/2012,Poland Ekstraklasa,Lech Poznań,15,7,8,42,22,52,20,5,16.858056,52.397222,
2011/2012,Poland Ekstraklasa,Lechia Gdańsk,7,10,13,21,30,31,-9,14,18.640278,54.39,
2011/2012,Poland Ekstraklasa,Legia Warszawa,15,8,7,42,17,53,25,4,21.04099453,52.22149029,
2011/2012,Poland Ekstraklasa,P. Warszawa,13,6,11,33,32,45,1,7,21.07967436,52.23167219,
2011/2012,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,9,8,13,26,39,35,-13,12,19.054267,49.817419,
2011/2012,Poland Ekstraklasa,Polonia Bytom,11,9,10,36,30,42,6,9,18.89871667,50.35755833,
2011/2012,Poland Ekstraklasa,Ruch Chorzów,16,7,7,44,28,55,16,3,18.944178,50.282203,
2011/2012,Poland Ekstraklasa,Widzew Łódź,14,21,25,48,79,63,-31,1,19.511667,51.765,
2011/2012,Poland Ekstraklasa,Wisła Kraków,12,7,11,29,26,43,3,8,19.911944,50.063611,
2011/2012,Poland Ekstraklasa,Zagłębie Lubin,11,7,12,36,42,40,-6,10,16.1975,51.413333,
2011/2012,Poland Ekstraklasa,Śląsk Wrocław,17,5,8,47,31,56,16,2,16.944094,51.141797,
2011/2012,Portugal Liga ZON Sagres,Académica de Coimbra,7,8,15,27,38,29,-11,12,-8.407777777,40.20333333,
2011/2012,Portugal Liga ZON Sagres,CD Nacional,13,5,12,48,50,44,-2,7,-16.883525,32.670625,
2011/2012,Portugal Liga ZON Sagres,CS Marítimo,14,8,8,41,38,50,3,5,-16.928331,32.645561,
2011/2012,Portugal Liga ZON Sagres,FC Paços de Ferreira,8,7,15,35,53,31,-18,10,-8.385581,41.271353,
2011/2012,Portugal Liga ZON Sagres,FC Porto,23,6,1,69,19,75,50,1,-8.544874,41.066863,
2011/2012,Portugal Liga ZON Sagres,Feirense,5,9,16,27,49,24,-22,15,-8.545814,40.926689,
2011/2012,Portugal Liga ZON Sagres,Gil Vicente FC,8,10,12,31,42,34,-11,9,-8.611111111,41.53388889,
2011/2012,Portugal Liga ZON Sagres,Rio Ave FC,7,7,16,33,42,28,-9,14,-8.740186,41.362756,
2011/2012,Portugal Liga ZON Sagres,S.C. Olhanense,9,12,9,36,38,39,-2,8,-7.848483,37.029128,
2011/2012,Portugal Liga ZON Sagres,SC Beira Mar,8,5,17,26,38,29,-12,13,-8.593611,40.6475,
2011/2012,Portugal Liga ZON Sagres,SC Braga,19,5,6,59,29,62,30,3,-8.4308,41.5624,
2011/2012,Portugal Liga ZON Sagres,SL Benfica,21,6,3,66,27,69,39,2,-9.184680555,38.75267778,
2011/2012,Portugal Liga ZON Sagres,Sporting CP,18,5,7,47,26,59,21,4,-9.160783333,38.76119444,
2011/2012,Portugal Liga ZON Sagres,"União de Leiria, SAD",5,4,21,25,56,19,-31,16,-8.811727979,39.74910021,
2011/2012,Portugal Liga ZON Sagres,Vitória Guimarães,14,3,13,40,40,45,0,6,-8.300066156,41.44587634,
2011/2012,Portugal Liga ZON Sagres,Vitória Setúbal,8,6,16,24,49,30,-25,11,-8.88978488,38.53144068,
2011/2012,Scotland Premier League,Aberdeen,9,14,15,36,44,41,-8,9,-2.088888888,57.15916667,
2011/2012,Scotland Premier League,Celtic,30,3,5,84,21,93,63,1,-23.512222,14.916111,
2011/2012,Scotland Premier League,Dundee United,16,11,11,62,50,59,12,4,-2.968961,56.474703,
2011/2012,Scotland Premier League,Dunfermline Athletic,5,10,23,40,82,25,-42,12,-3.441906,56.075308,
2011/2012,Scotland Premier League,Heart of Midlothian,15,7,16,45,43,52,2,5,-3.232222,55.939167,
2011/2012,Scotland Premier League,Hibernian,8,9,21,40,67,33,-27,11,-3.165555555,55.96166667,
2011/2012,Scotland Premier League,Inverness Caledonian Thistle,10,9,19,42,60,39,-18,10,-4.2175,57.494722,
2011/2012,Scotland Premier League,Kilmarnock,11,14,13,44,61,47,-17,7,-4.508122,55.604225,
2011/2012,Scotland Premier League,Motherwell,18,8,12,49,44,62,5,3,-3.980078,55.779947,
2011/2012,Scotland Premier League,Rangers,26,5,7,77,28,83,49,2,28.0516,-26.2346,
2011/2012,Scotland Premier League,St. Johnstone FC,14,8,16,43,50,50,-7,6,-3.476928,56.409686,
2011/2012,Scotland Premier League,St. Mirren,9,16,13,39,51,43,-12,8,-4.443889,55.850556,
2011/2012,Spain LIGA BBVA,Athletic Club de Bilbao,12,13,13,49,52,49,-3,10,-2.949369,43.264205,
2011/2012,Spain LIGA BBVA,Atlético Madrid,15,11,12,53,46,56,7,5,-3.599444,40.436111,
2011/2012,Spain LIGA BBVA,CA Osasuna,13,15,10,44,61,54,-17,7,-9.192602072,38.76679118,
2011/2012,Spain LIGA BBVA,FC Barcelona,28,7,3,114,29,91,85,2,2.12005,41.380081,
2011/2012,Spain LIGA BBVA,Getafe CF,12,11,15,40,51,47,-11,13,-3.714722,40.325556,
2011/2012,Spain LIGA BBVA,Granada CF,12,6,20,35,56,42,-21,17,-3.595736,37.152967,
2011/2012,Spain LIGA BBVA,Levante UD,16,7,15,54,50,55,4,6,-0.364167,39.494722,
2011/2012,Spain LIGA BBVA,Málaga CF,17,7,14,54,53,58,1,4,-4.427226608,36.73438436,
2011/2012,Spain LIGA BBVA,RCD Espanyol,12,10,16,46,56,46,-10,14,2.075667,41.347861,
2011/2012,Spain LIGA BBVA,RCD Mallorca,14,10,14,42,46,52,-4,8,2.63,39.59,
2011/2012,Spain LIGA BBVA,Racing Santander,4,15,19,28,63,27,-35,20,-3.846193141,43.46180928,
2011/2012,Spain LIGA BBVA,Rayo Vallecano,13,4,21,53,73,43,-20,15,-3.658961,40.391944,
2011/2012,Spain LIGA BBVA,Real Betis Balompié,13,8,17,47,56,47,-9,12,-5.981611,37.356403,
2011/2012,Spain LIGA BBVA,Real Madrid CF,32,4,2,121,32,100,89,1,-3.68835,40.45306,
2011/2012,Spain LIGA BBVA,Real Sociedad,12,11,15,46,52,47,-6,11,-1.973617,43.301378,
2011/2012,Spain LIGA BBVA,Real Sporting de Gijón,10,7,21,42,69,37,-27,19,-5.68056,43.4981,
2011/2012,Spain LIGA BBVA,Real Zaragoza,12,7,19,36,61,43,-25,16,-0.901822,41.636592,
2011/2012,Spain LIGA BBVA,Sevilla FC,13,11,14,48,47,50,1,9,-5.970467,37.383878,
2011/2012,Spain LIGA BBVA,Valencia CF,17,10,11,59,44,61,15,3,-0.358333,39.474722,
2011/2012,Spain LIGA BBVA,Villarreal CF,9,14,15,39,53,41,-14,18,-0.11501,39.94046,
2011/2012,Switzerland Super League,BSC Young Boys,13,12,9,52,38,51,14,4,7.465,46.962778,
2011/2012,Switzerland Super League,FC Basel,22,8,4,78,33,74,45,1,7.62,47.541389,
2011/2012,Switzerland Super League,FC Lausanne-Sports,8,6,20,29,61,30,-32,8,6.625,46.534,
